article,word_ratio,period_ratio,comma_ratio,s_ratio,a_ratio,e_ratio,i_ratio,o_ratio,u_ratio
1,426/358,14/11,30/25,114/97,146/126,247/193,188/164,179/159,49/40
2,203/170,3/2,5/5,68/48,78/59,100/93,100/77,86/71,25/28
3,197/339,5/10,3/7,59/121,70/127,117/217,101/166,80/125,24/38
4,71/71,1/1,1/1,16/16,22/22,35/35,29/29,36/36,6/6
5,146/121,5/5,10/7,39/33,52/38,97/79,67/52,63/51,21/13
6,136/68,8/4,inf,37/16,45/25,94/49,57/29,41/22,17/3
7,184/184,8/8,10/10,45/45,74/74,128/128,93/94,73/73,23/22
8,116/116,3/3,1/1,31/31,67/67,68/68,52/52,47/47,12/12
9,24/24,1/1,1,7/7,11/11,13/13,8/8,8/8,1/1
10,18/18,1/1,1,3/3,6/6,13/13,10/10,5/5,1/1
11,28/28,1/1,1/1,7/7,10/10,19/19,15/15,10/10,3/3
12,975/1010,50/64,77/77,332/336,400/410,621/651,399/401,343/360,156/159
13,132/132,4/4,3/3,32/32,64/64,88/88,57/57,47/47,23/23
14,163/163,7/7,21/21,60/60,65/65,104/104,53/53,82/82,22/22
15,94/80,6/2,4/2,26/26,45/34,58/56,28/21,27/22,10/9
